,pre_Pregunta 2,pre_Pregunta 3,pre_Pregunta 4,pre_Pregunta 5,pre_Pregunta 6,pre_Pregunta 7,pre_Pregunta 8,pre_Pregunta 9,pre_Pregunta 10,pre_Pregunta 11,pre_Pregunta 12,pre_Pregunta 13,pre_Pregunta 14,pre_Pregunta 15,post_Pregunta 2,post_Pregunta 3,post_Pregunta 4,post_Pregunta 5,post_Pregunta 6,post_Pregunta 7,post_Pregunta 8,post_Pregunta 9,post_Pregunta 10,post_Pregunta 11,post_Pregunta 12,post_Pregunta 13,post_Pregunta 14,post_Pregunta 15,pre_¿Cuál es tu sexo?,pre_Curso,pre_Pregunta 17,post_Pregunta 17,post_Pregunta 18,post_Pregunta 19,pre sum,post sum,difference
3132,1.0,1.0,1.0,0,1.0,1.0,1,1.0,1,1,0.25,0.25,0.75,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,0.75,0.75,Chica,4º ESO,Sí,4.0,4.0,De reconocimiento de textos,11.25,12.0,0.75
3109,1.0,1.0,0.0,1,1.0,1.0,1,1.0,1,1,0.5,0.75,0.25,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,0.75,0.5,0.75,Chica,4º ESO,Sí,4.0,3.0,He hecho proyectos de los dos tipos,11.5,9.5,-2.0
5867,0.0,0.0,0.0,0,0.0,1.0,1,0.0,1,0,0.25,0.0,1.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.5,Chico,5º Primaria,Sí,5.0,4.0,De reconocimiento de textos,4.75,4.25,-0.5
3145,0.0,1.0,0.0,0,1.0,0.0,0,0.0,0,0,0.25,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.75,0.25,0.75,Chico,4º ESO,Sí,4.0,4.0,He hecho proyectos de los dos tipos,3.75,12.25,8.5
5869,1.0,0.0,1.0,0,1.0,1.0,0,0.0,0,1,0.5,1.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.5,0.75,0.75,0.25,Chico,5º Primaria,No,4.0,2.0,He hecho proyectos de los dos tipos,7.5,7.25,-0.25
3110,1.0,1.0,1.0,0,1.0,1.0,1,0.0,1,1,0.25,0.25,0.25,0.5,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5,0.5,1.0,0.75,Chica,4º ESO,Sí,3.0,2.0,He hecho proyectos de los dos tipos,9.25,8.75,-0.5
3143,0.0,1.0,0.0,1,0.0,1.0,1,0.0,1,1,0.75,0.25,0.5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.75,0.25,0.5,1.0,No quiero responder,4º ESO,Sí,5.0,4.0,De reconocimiento de textos,8.5,10.5,2.0
3147,0.0,1.0,0.0,1,0.0,1.0,1,1.0,1,0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.5,1.0,1.0,0.75,Chica,4º ESO,Sí,5.0,3.0,De reconocimiento de textos,8.75,11.25,2.5
5160,1.0,1.0,0.0,1,0.0,1.0,1,1.0,0,0,0.25,0.5,0.75,0.75,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.25,1.0,0.0,Chico,6º Primaria,Sí,4.0,4.0,De reconocimiento de textos,8.25,11.0,2.75
3121,1.0,1.0,1.0,0,1.0,1.0,1,0.0,0,1,0.0,1.0,0.75,0.5,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,0.5,Chico,4º ESO,Sí,4.0,2.0,De reconocimiento de textos,9.25,10.0,0.75
